Id,Prediction
0,5584793.945
1,3397453.578
2,458082.6
3,6253025.24
4,4197970.695
5,9527731.685
6,7705839.113
7,3962910.904
8,10557220.65
9,-13741128.35
10,10848774.11
11,5054994.111
12,1207606.354
13,8392944.089
14,9943184.956
15,5649389.601
16,6565089.232
17,-412326.7514
18,13114660.37
19,7868896.435
20,9502132.153
21,-1909610.515
22,2915407.847
23,4941490.611
24,7553854.47
25,6569211.502
26,1869195.339
27,4734224.4
28,5682876.485
29,2649484.305
30,6841943.808
31,8593094.202
32,756838.8813
33,8151344.227
34,293437.709
35,7095364.813
36,3601826.696
37,24517870.67
38,1351862.762
39,-1625982.144
40,6768867.095
41,1627948.985
42,22809437.3
43,12574725.69
44,8831615.603
45,2680446.644
46,5672490.208
47,-4304898.498
48,-6967016.829
49,9526526.745
50,5458808.201
51,7554924.162
52,6148039.714
53,839383.9356
54,3021570.049
55,8736036.206
56,5393863.692
57,11115363.64
58,6891182.458
59,3684617.35
60,10432895.99
61,5414420.293
62,-2735579.689
63,-4088622.656
64,9001901.325
65,9398621.412
66,9358682.229
67,4022740.524
68,6849478.447
69,3947347.453
70,2683459.127
71,2354880.516
72,2715522.689
73,7139909.56
74,9491027.059
75,5828692.111
76,5214086.143
77,-34410.57166
78,3952519.027
79,-626890.1727
80,12046801.8
81,6626170.279
82,-1787740.371
83,11328132.44
84,14796256.48
85,2470059.083
86,1094059.083
87,5026922.794
88,5284318.798
89,9006424.117
90,7184744.523
91,10048872.52
92,4463962.446
93,2223356.426
94,8583459.704
95,2394623.272
96,-478702.1172
97,3904808.96
98,6291091.155
99,9709367.117
100,6496630.453
101,3318801.952
102,7208055.655
103,8455977.377
104,7710313.773
105,-1583680.167
106,8918396.616
107,8346706.903
108,6928391.346
109,13522570.11
110,11768383.15
111,26280612.88
112,12452455.53
113,1895939.2
114,11870177.79
115,-436431.4539
116,5724737.294
117,12183791.74
118,4626249.584
119,22241408.06
120,7117283.06
121,3213681.849
122,6996398.468
123,9138986.947
124,3231996.335
125,-6035492.196
126,12820329.42
127,3583560.838
128,18537225.16
129,5929271.585
130,5528261.167
131,22609992.76
132,8562843.485
133,21070090.63
134,-333226.3295
135,-3576357.93
136,1703341.75
137,8993639.3
138,16599930.99
139,2956929.097
140,10559877.92
141,6110649.321
142,5597247.873
143,662607.5802
144,16564913.9
145,-3990930.787
146,-287173.0001
147,2384140.069
148,2138872.526
149,6959164.642
150,6306695.285
151,4704966.215
152,7716867.881
153,14765932.73
154,7608746.998
155,6355189.106
156,5234246.567
157,5441729.57
158,17412215.41
159,1768428.849
160,3084276.083
161,7151280.42
162,-5641568.478
163,5516568.019
164,8823225.645
165,4105549.626
166,5341247.991
167,1806925.133
168,6161749.167
169,8258996.814
170,2420555.592
171,818261.8221
172,-6421613.054
173,9523621.412
174,15121328.77
175,2712765.203
176,8679209.273
177,6781056.802
178,5381300.356
179,6111415.285
180,6486947.57
181,9934805.321
182,-589.1596909
183,13514285.6
184,18636121.04
185,5578809.277
186,3053038.943
187,4451484.804
188,9125371.037
189,4327245.248
190,9677470.677
191,2847863.36
192,11200462.88
193,6178405.351
194,4963662.812
195,7103577.912
196,8539527.45
197,3135435.306
198,2494627.141
199,3074631.809
200,6696624.89
201,2616547.647
202,7495638.754
203,8081524.619
204,8980364.47
205,8283359.469
206,12983966.67
207,5771263.4
208,1616784.662
209,4785618.293
210,9026652.108
211,6627033.913
212,4769048.988
213,5113830.667
214,7802802.122
215,2408875.005
216,6439677.464
217,5488121.311
218,5958000.274
219,4414212.761
220,7260228.528
221,5028058.672
222,8118159.556
223,8223246.696
224,5623619.689
225,11050827.74
226,5425216.777
227,9007826.373
228,1512187.746
229,11275979.16
230,9360015.45
231,16304119.21
232,5644105.778
233,2213580.628
234,2695946.854
235,2747212.652
236,13452016.95
237,3309881.797
238,12333367.96
239,21229624.28
240,4058541.544
241,8655273.899
242,3603450.85
243,4638108.597
244,2667895.8
245,5952716.939
246,4057904.782
247,5437200.629
248,5182302.09
249,5883776.988
250,-7741731.449
251,4486970.603
252,7543303.447
253,3310111.989
254,6739828.363
255,3733400.918
256,4249608.336
257,6747008.335
258,865473.5033
259,8376869.68
260,-1082953.112
261,-4277427.061
262,1831063.837
263,4159318.41
264,3147504.728
265,4900706.439
266,7977444.933
267,9298398.61
268,7331876.537
269,3130210.797
270,5756324.935
271,5871620.128
272,7716919.098
273,6883404.83
274,2964833.86
275,6029356.714
276,10512615.18
277,6817389.592
278,7165913.876
279,5551625.397
280,4934055.865
281,7755652.674
282,2968229.607
283,1086815.315
284,5933747.138
285,3386994.826
286,-5702527.253
287,-2728974.447
288,9225366.934
289,-2436725.153
290,-2083481.626
291,8686334.219
292,2532475.218
293,3170476.126
294,5878789.552
295,8211754.809
296,7136378.873
297,20653413.44
298,11781641.41
299,6102605.872
300,14139139.99
301,6703537.282
302,9409418.765
303,9852419.435
304,9790341.799
305,17252616.8
306,2739906.792
307,6503437.326
308,-588937.1684
309,3709020.908
310,5418332.206
311,5293932.626
312,8450508.704
313,6690772.738
314,-665626.4117
315,-4746625.252
316,1509927.624
317,6023219.074
318,11148874.02
319,5777254.565
320,8820053.421
321,4915858.258
322,3409991.902
323,-3151263.742
324,3712948.694
325,6531611.568
326,7806776.037
327,-144007.9034
328,6025148.6
329,10634637.81
330,2561238.846
331,8507899.68
332,9031513.119
333,8153288.638
334,6465036.513
335,7273806.369
336,2459055.203
337,12929078.3
338,4048146.631
339,4172224.794
340,12147166.49
341,4951353.503
342,-1936756.28
343,7138889.166
344,9014227.688
345,4246457
346,5091983.946
347,6573963.86
348,5663992.967
349,7244229.681
350,3806589.478
351,6525072.263
352,8051839.775
353,3105590.811
354,-5428187.577
355,5578592.686
356,-1588185.033
357,3574664.702
358,7717884.605
359,5846586.801
360,8016744.227
361,9413175.844
362,1651903.15
363,3132471.055
364,9542978.116
365,640349.2501
366,4894888.32
367,10495115.2
368,5980680.935
369,10877999.87
370,6776364.674
371,10804422.33
372,24135812.81
373,13893573.86
374,5568871.666
375,5786591.098
376,6535001.019
377,4032218.999
378,6427142.238
379,4637443.429
380,3698057.108
381,4974486.918
382,2545695.773
383,8527674.002
384,9301266.133
385,15689047.51
386,8043074.441
387,7102476.386
388,3383218.345
389,21885503.5
390,6809863.462
391,2192160.449
392,4043141.836
393,4569562.485
394,5914396.61
395,5328405.292
396,12681833.26
397,7723751.332
398,9410879.699
399,11798424.9
400,5828047.941
401,7231894.09
402,1984283.416
403,13044360.41
404,2726354.042
405,2228690.56
406,9230474.82
407,3741494.868
408,2004463.315
409,3311484.075
410,9925365.247
411,1215534.399
412,5073226.664
413,21594978.62
414,1968763.405
415,14462414.97
416,7883245.704
417,3690779.249
418,5543135.977
419,7767080.007
420,6810581.503
421,16434897.26
422,7509530.717
423,3296036.81
424,4215445.531
425,10772942.04
426,5744013.879
427,1299230.445
428,12670855.37
429,4184647.561
430,4720149.383
431,6811302.581
432,3937808.659
433,9316720.662
434,5578210.18
435,1647573.768
436,11061754.46
437,4049324.565
438,4611969.036
439,11273756.19
440,2864235.455
441,364685.092
442,9769309.782
443,23290258.98
444,15800144.05
