Id,Prediction
0,5475770.998306875
1,3422833.113066376
2,3303300.929970173
3,3458838.120574813
4,3726007.306653463
5,4382009.924010976
6,4665396.230289181
7,3745094.149585066
8,5389465.503840735
9,6977006.675869853
10,4679882.491851319
11,3991000.975043879
12,10600366.711116314
13,10755708.207569625
14,3847955.791159217
15,4355669.506909651
16,5233822.370056403
17,3521279.40837535
18,8007906.085865127
19,3389585.353646805
20,2531834.274483682
21,5306386.380170203
22,5715465.014196502
23,4965591.474967501
24,4761666.543929062
25,3614788.1880924925
26,3448911.177605151
27,4567511.247318398
28,3643817.6879785242
29,4209570.5436294945
30,3213865.700635425
31,3149227.8262663046
32,3001435.3481949493
33,5865348.521619737
34,2791981.320061247
35,6801119.51546258
36,4299401.466629149
37,5691813.207712276
38,3229058.652690439
39,3428052.508437245
40,4088775.926943868
41,4535228.90919043
42,5317659.933730154
43,4795044.845436369
44,6557344.125511175
45,3671577.5422948706
46,3400743.586792914
47,2380990.735398054
48,4642525.910064276
49,4201378.941503836
50,4634737.781512949
51,3032192.890703392
52,4547873.772876668
53,2541845.369661949
54,3633487.714726277
55,5212330.242347526
56,5194356.595573649
57,3653467.0230930867
58,5429026.470337184
59,4893402.458137528
60,4285719.132156658
61,4547250.0453561405
62,4200323.857733703
63,3504759.6320697507
64,5748236.9975493
65,6381053.772389864
66,4758837.183457033
67,7132122.722011785
68,4559885.078706683
69,5011304.394387403
70,3592515.7042180556
71,2339727.1883402383
72,4198596.746174014
73,6228893.14908904
74,6858441.973102028
75,4633890.746290169
76,4797496.665499756
77,4209199.117032251
78,4908847.122504755
79,3694890.5659556924
80,5489054.950469968
81,5264451.008014276
82,4324454.367101549
83,4842093.748424729
84,5971287.749017865
85,2198469.904037813
86,4551989.894902661
87,8097363.9134450015
88,6054627.793151761
89,3911060.4990027724
90,6512704.385800654
91,4404943.914483125
92,3233318.1732101794
93,4157436.5570685216
94,7492734.761151686
95,2871037.371276746
96,4493098.438270521
97,4679470.040232907
98,6441665.981746066
99,7353990.860630707
100,7055454.104111863
101,3277866.2941081356
102,2852783.308858065
103,4071626.419898602
104,5537778.386678402
105,3240260.390745749
106,5214273.429266387
107,7120371.821611864
108,4840028.381238446
109,4898496.919172126
110,5062428.858449852
111,3983312.0201322753
112,4542597.389071022
113,4295487.166370808
114,4501272.38535763
115,3588237.921125574
116,3568363.6803278625
117,5802088.830750691
118,3593792.364704421
119,6610971.004001498
120,5017046.320267358
121,4699098.388011573
122,5298841.638250991
123,5109501.000552173
124,2871661.505342668
125,3952012.1390845086
126,5831061.777859062
127,4027697.0421328233
128,5549950.315307585
129,4351855.921630483
130,4427507.468823325
131,4545781.961058051
132,4876602.78941402
133,4253781.770946767
134,4330425.982843559
135,3483725.3719854737
136,4145454.271201691
137,3945900.343927121
138,4184498.1109523815
139,4251532.081134191
140,5396337.284538986
141,2761023.9939302155
142,5542929.301122909
143,2912022.7674201904
144,5048447.7047218
145,3333708.5405349806
146,4394990.03533729
147,3189926.587775186
148,4567244.079337022
149,4329896.9195804335
150,4966742.467790695
151,3983887.92722467
152,8525210.604694571
