,Id,Prediction
0,0,5308971.877867966
1,1,4029210.6734211864
2,2,3137483.1880952385
3,3,3371323.737593985
4,4,3488383.394736842
5,5,5068602.322837643
6,6,4677110.577570346
7,7,2805203.6374999997
8,8,6563083.649161255
9,9,4449900.545238095
10,10,5106341.753675289
11,11,4172797.1011545
12,12,6867969.846386054
13,13,7796974.553869047
14,14,4606321.784728637
15,15,8372990.298127177
16,16,5387083.940205628
17,17,4341767.45382653
18,18,10062289.04017857
19,19,4086573.94915861
20,20,3048327.6154761906
21,21,8000846.119555749
22,22,5608918.20952381
23,23,5550300.4254917875
24,24,4243948.78387355
25,25,3184484.414872438
26,26,3002950.3278713794
27,27,4507522.567615459
28,28,3722756.7313988097
29,29,4282574.682160364
30,30,4360743.955208333
31,31,3501666.848214286
32,32,2486721.564260704
33,33,6277066.479306722
34,34,2587143.1768796993
35,35,6708041.182055749
36,36,4683627.993577999
37,37,5224925.654464285
38,38,3060753.4271821566
39,39,3090917.990811476
40,40,5144743.925234041
41,41,4301001.911482392
42,42,4371392.8015764
43,43,4789654.118952922
44,44,5656890.66192242
45,45,4001710.340814018
46,46,3225101.934676435
47,47,2489253.9142857143
48,48,4438769.157043651
49,49,4996673.294323979
50,50,4103760.5154845156
51,51,3205066.1722789113
52,52,5372094.755081498
53,53,3016863.291165413
54,54,3794842.949227317
55,55,4882924.779969552
56,56,5183118.254482409
57,57,3690533.0738016134
58,58,5517750.399734032
59,59,5404951.404949961
60,60,4561427.428625541
61,61,5076541.079209598
62,62,4230519.671534863
63,63,4009839.6743555316
64,64,5542610.6019148575
65,65,8580594.946325121
66,66,4494789.173966659
67,67,8272731.446428572
68,68,5010709.103623181
69,69,5490833.451495255
70,70,3977531.1830491014
71,71,2620439.5861607143
72,72,4109924.3694818327
73,73,5429412.686948871
74,74,5673351.792517007
75,75,4899150.756682292
76,76,4982655.282175711
77,77,4345185.374516253
78,78,4849771.322849291
79,79,4256869.215642529
80,80,5361350.259734282
81,81,6029008.685374149
82,82,4221428.514221939
83,83,4693619.0339414915
84,84,8586679.58497308
85,85,2051681.7989926736
86,86,6401859.961309524
87,87,8243737.32813822
